x,y,theta,v,omega
3.426604,2.225947,1.077684,0.499999,-0.000864
3.473949,2.314029,1.077499,0.499999,-0.001112
3.568698,2.490162,1.07699,0.499999,-0.001426
3.616108,2.578208,1.07671,0.499999,-0.001202
3.663541,2.666243,1.076501,0.499999,-0.000403
3.758411,2.84231,1.076899,0.499999,0.004523
3.805772,2.930383,1.078035,0.499999,0.009749
3.876496,3.062663,1.082116,0.499999,0.022959
2.350794,0.595832,0.934304,0.499999,0.142136
2.493076,0.801353,0.990393,0.499999,0.072112
2.679375,1.097633,1.022138,0.499999,0.019142
2.731374,1.18305,1.02557,0.499999,0.011864
2.860548,1.397092,1.029221,0.499999,0.002439
3.066606,1.739933,1.029566,0.499999,-0.000775
3.247009,2.039856,1.028979,0.499999,-0.000824
3.427581,2.339678,1.028493,0.499999,-0.000291
3.641011,2.621176,0.951486,0.498207,0.081879
4.002281,3.211018,1.107928,0.485696,0.153305
1.314449,1.902482,1.073083,0.473623,-0.14282
1.334461,2.090172,1.185734,0.499959,-0.102078
1.353476,2.136411,1.175526,0.499958,-0.112002
1.434917,2.319035,1.124498,0.499948,-0.154439
1.5271,2.496459,1.055866,0.499904,-0.200783
1.310183,2.28291,1.270725,0.499995,-0.07008
1.442086,2.660411,1.187757,0.499995,-0.15561
1.523016,2.843257,1.116717,0.499995,-0.216739
1.545433,2.887949,1.095043,0.499995,-0.233709
1.264922,2.468767,1.246572,0.499999,-0.026647
1.4966,3.07568,1.127945,0.499999,-0.214371
1.541431,3.165058,1.082523,0.499999,-0.266222
1.293778,2.858668,1.244066,0.499999,-0.054449
1.436115,3.232319,1.146884,0.499999,-0.236616
2.112014,3.838118,0.16537,0.36923,-0.337933
2.307261,3.854592,0.013304,0.424974,-0.252873
1.20056,-0.181776,-0.188945,0.384866,0.050716
1.351365,-0.208843,-0.164421,0.379466,0.079176
1.537211,-0.235513,-0.117474,0.368644,0.116375
1.752987,-0.252673,-0.035936,0.348205,0.163844
1.856103,-0.253789,0.015689,0.334362,0.18872
1.922413,-0.251487,0.054277,0.323699,0.205667
2.106082,-0.229604,0.190619,0.285892,0.257674
2.28505,-0.177393,0.389204,0.245786,0.31761
2.307639,-0.167707,0.420965,0.243373,0.325591
2.482683,-0.057321,0.699421,0.321155,0.365446
2.558944,0.014599,0.808437,0.412556,0.354077
2.675545,0.155632,0.943037,0.499999,0.296573
2.731889,0.238231,1.000211,0.499999,0.252186
2.783808,0.323685,1.048266,0.499999,0.204401
2.831983,0.411309,1.086796,0.499999,0.158347
